标题,内容,评论
曝中超传奇球星病重，上港老队长何时回归仍是个谜,近日，由于上港在亚冠中疑似故意输球的事情引起了不小的骚动，许多球迷都对上港嗤之以鼻。上港财大气粗不断引进球星，但传的沸沸扬扬的老队长孙祥病重一事也是球迷们一直关心的问题。,358

NBA最惹不起的狠角色！帮派成员都会敬他三分！,NBA联盟帮助很大一部分球员进入了中层或者上层阶级，但是与帮派之间的关系仍在联盟中存在。我们一起来看看那些现在或曾经与帮派有染的球员们。皮尔斯--11刀猛男狠角色08年在对阵老鹰的比赛中，真理对老鹰球员做出了一个美国街头黑帮的手势，当场被罚25000美元。,161

拿着三队的工资 他却帮助只给他26万美元的骑士进了总决赛,在和凯尔特人的第五战过后，德隆-威廉姆斯成为了人们竞相议论的人物，很简单，这场比赛他凭借着6投5中拿下14分的表现直接打垮了绿衫军，而他自己也在进入联盟12年后第一次尝到了总决赛的滋味。“我很激动，我真的不知道说些什么。,80

NBA五大黑帮成员！艾弗森原来是黑帮大哥，哈登的背景太深！,NBA是男人的天堂，也是NBA挥洒热血的地方。有竞争的地方就会有战争，这是一条永恒的真理，NBA也是如此。少不了几个热血男儿因为某些事情上头发生冲突，就连球品一向不错的韦德也在赛场上发生过冲突，更何况别人。,25

厉害了！从未打CBA却进国家队，人称小姚明到底何许人也！,"昨日中国篮协公布了男篮双国家队集训名单。在这份名单中,易建联、周琦、郭艾伦等名将悉数在列。不过有一人的入选十分意外,在红队的集训名单中？这人是谁呢？,相信很多球迷都不知道他,即便经常看CBA的也是如此。因为这位小将此前还未曾踏入过CBA赛场。",71

揭秘：“野兽”泰森首次去妓院，女孩背部拉伤，泰森索要嫖资,提起“野兽”迈克尔-泰森可以说是家喻户晓的超级明星，他的名气不仅来自拳台上的威风八面、排山倒海，也和私生活泛滥有直接关系。野兽的名号绝非浪得虚名，据泰森回忆，他的第一次应该是在参加1984年奥运会期间，也就说18岁左右，他和一个女实习生在一起。,3

NIKE鞋和李宁鞋差距到底有多大？,我在耐克的代工做过，并且专管资材。差距？不只是差距，而是完全两种鞋，两种感觉，国产外观模仿的再像，一上脚比耐克差了十万八千里，别提爱国，垃圾就是垃圾。这么说吧，耐克对鞋的标准严苛到了变态的地步。,617

中超美女老板亲密贴脸外籍主帅曼萨诺，约会于大宝引起球迷热议,说起中超联赛球队的老板，文筱婷这位中超球队的美女老板最近可以说是出尽了风头，带领着贵州智诚拿下了球队在中超联赛的第二场胜利，带领着球队一步步的在中超突破，创造着历史。,21

最美奥运健将，瘫痪17年，丈夫为了她抛弃前妻，今身价上亿,中国体坛曾经有过很多的“神仙侠侣”，乒乓球圈的骄子福原爱和江宏杰，等等。但是今天要讲的这两人有点特别，但是却非常感动。桑兰，浙江宁波人，93年进入国界队，1997年得到世界跳马冠军，在参加第四届美国友爱活动会的训练中失慎受伤，造成颈椎骨折，下半身瘫痪，只能坐轮椅。,19

比姚明还高的孙明明与众星合影：对战一龙，抱起柳岩不幸被误伤！,孙明明，篮球运动员，身高2米36，比姚明都足足高出了10公分，在他20岁的时候便被选入了中国男篮奥运希望队，还随队访美，也正是那次美国之旅，让NBA球探开始关注他，毕竟这样的身高，在篮球场上是绝对的优势，不过2年后，很不幸被检查出患有脑下垂体瘤，也就是大家通常理解的巨人症，所以才,2895

NBA76人队下赛季要雄起！首发五人太恐怖！个个全明星级别！,在季后赛东部半决赛中，多伦多猛龙队遭遇骑士队4比0横扫，赛后，猛龙队当家球星洛瑞表示跳出合同，今夏试水自由市场，而他的下家最有可能的就是费城76人队，而据爆料称，76人方面已经准备好给洛瑞开出一份巨额合同。,177

新疆小贝鲁尼卡洛斯全面爆发，国足未来十年锋线无忧！,当世青赛进行得如火如荼之时，中国队也没闲着，足协通过组织熊猫杯和江阴四国赛让中国的年轻小将得到宝贵的锻炼机会。从这几场比赛来看，新疆球员的水平明显比同龄的其他球员高出一截。在此小编列出值得里皮关注的三大新星！,93

杜兰特：五年了，总决赛我又要遇到詹姆斯了，再也不做千年老二,勇士横扫所有的西部球队晋级总决赛，这让他们有了10天的休息时间，以逸待劳面对总决赛这个最后的对手，而他们要面对估计是骑士队，这个他们的老对手，连续三年在总决赛相汇。,421

昔日中国国乒一姐远嫁韩国，拒绝韩国归化，如今儿子成全韩国骄傲,26岁的安秉勋1991年9月17日出生在韩国首尔，如今是韩国知名的棒球运动员，成为了韩国人的骄傲，其父安宰亨曾是韩国乒乓球前国手、韩国男乒主教练；母亲焦志敏，则是曾经的中国女乒一姐。焦志敏与安宰亨的异国恋情在当时轰动中韩两国。,150

男女世界第一均无缘苏杯四强，国羽哀兵出战真王者,近日，苏迪曼杯羽毛球混合团体锦标赛正在澳大利亚黄金海岸进行，经过小组赛和1/4决赛之后，中国、日本、韩国、泰国四支亚洲国家包揽四强，成为名副其实的亚洲团体锦标赛。,39

C罗梅西谁更加难以防守？博阿滕说出了答案,C罗不知道多少年了，这个时代还是梅西和C罗的时代，虽然也有各路大神崛起，但这两位依然屹立不倒。国内也不乏“小梅西”、“小C罗”称号的人，另外民间要是办一场足球赛，无论大人小孩，可能场上会出现好多个10号和7号。,215

最有骨气的运动员！因“谈恋爱”被开除！被开除后拒绝为他国效力,中国的乒乓球在这个世界上可谓是所向披靡，征战十几年可谓难逢对手。有句老话这样讲的，随便派一个省队去参加比赛都能拿冠军，这句话或许太夸张，但是他确实是显示了中国乒乓球的强大。在运动员夺冠的背后，不尽的艰辛和汗水才成就了他们的辉煌。但是他们辉煌的背后也有数不清，道不明的故事。,276

联盟：波波顶薪锁死妖刀接班人，勇士“二哥”遭挖角西部变天,西决中，马刺刚被勇士横扫，而波波维奇最后迷之微笑，看着诡异至极，而且还是在输球之后，如此诡异的动作也是极少见，有的球迷说，这是波波维奇对爱徒的表现很是肯定，不过波波老爷子在联盟中一向不是安分的主，狡猾至极！,105

黑人拳王扬言睡遍中国姑娘遭暴打，网友：让张君龙狠狠教育他,美国黑人拳王查理斯·本内特是混迹于世界二、三线格斗赛事的选手，尽管他的绝对实力很一般，但由于其夸夸其谈的行为举止以及嚣张到藐视一切的比赛风格受到了很多人的关注。,66

NBA和CBA差距有多大，看完这些大概就懂了,NBA作为全球最顶尖的篮球比赛，是很多篮球爱好者梦寐以求的地方，但是想要登陆NBA，可不是一件容易的事，相比较之下，CBA就要逊色很多，那么NBA和CBA的差距到底有多大呢，下面我们一起来看下！我们都知道兴趣是最好的老师，而气氛就像是兴趣的培养皿。,209

猛如泰森，中国龙王17胜17KO，28秒3KO，吓晕日本红毛,猛如泰森，中国龙王17胜17KO，曾28秒3KO，吓晕日本红毛！柳号搏击综述重量级拳坛风起云涌，西方有约书亚，东方有张君龙。,115

中国马拉多纳，日本比赛进39球，巴西教练“这天才竟是中国人”,"他是曾经名冠足坛的健力宝“四小天鹅”，他是曾经才华横溢的中国马拉多纳 ，在中国能把足球诠释的如此生动的球员只有他。在远赴巴西留学的时候，他自如的控球，巧妙的过人都让巴西的教练瞠目结舌："" 这个天才居然是中国人！"" 老球迷们依然感叹，假如他生在巴西，还会有内马尔吗？",27

最终夺得NBA总冠军的球队能赚多少钱？,很多球迷会认为NBA球队获得总冠军可以赚很多钱，其实一个球队的收益情况并不是想象的这么简单。NBA总冠军只有可怜的几百万，但是NBA球队赚钱不是靠争夺总冠军的。当然，总冠军会有更多的媒体曝光率，也就会有机会赚更多的钱。这个问题的答案因球队而异。,80

NBA巨富到底多有钱？,自从姚明于2月正式出任篮协主席以来，网友纷纷表示中国篮球有救了，因为终于有了一个肯干事，愿意干事的专业人，而在很多人眼中，姚明也不在乎什么钱不钱的问题，就像王思聪一样：“我交朋友不在乎对方有没有钱，反正都没我有钱。,73

被坑死！这就是朱婷留洋真正原因，郎平拯救她功劳最大,心疼朱婷！万众瞩目的女排版“三英战吕布”战过后，不少球迷都会发出这样的感慨。面对国家队队友惠若琪、张常宁、龚翔宇领衔的全国女排联赛冠军江苏女排，朱婷一人的力量还不足够，尽管她本场比赛确实展示了“吕布”的风采，但最终球队还是输给了对手。,68

四届奥运，五枚金牌，25年坚守，10厘米伤口，合影紧挨总书记,没有付出就没有收获，这是中国体育健儿们最好的写照，在赛场辉煌都是平时刻苦训练换来的。他们在人前接受着鲜花和掌声，但背后的故事却鲜为人知。吴敏霞就是这样的运动员。吴敏霞经历了一个漫长的职业体育生涯。,173

中国80后散打冠军，为4000元打黑拳致死，父母负债悲痛欲绝,拳击运动在我国有着悠久的历史，但拳击水平并不高，且大多都是蝇量级，职业选手更是寥寥无几，最为大众熟知的可能就是邹市明，在去年的时候还夺得了拳王金腰带。向邹市明这般努力的拳击运动员很多，但能像他那样努力和结果成正比的却很少。,51

人类的极限滞空1.15秒，乔丹0.92秒滞空并非世界第一！,NBA里面要数滞空最牛逼的人，非乔帮主莫属，0.92秒的滞空能力可以说是NBA历史上之最。虽然乔帮主的滞空能力是NBA历史第一，但是世界第一的滞空能力却不是篮球之神的乔丹。今天给大家科普一下运动员的滞空能力的的来源和计算定理公式。,195

